scenario,run_id,category,outcome,mean_pos_error,rmse_pos,max_pos_error,mean_yaw_error,path_length,duration,path_efficiency,mean_velocity,smoothness,amcl_uncertainty,max_amcl_uncertainty,anomaly_count,anomalies
small-dataset-maps-door-size-0-5-1s1-7,0,door-width,failure,0.04127467607288682,0.043334520498435405,0.0884074340307613,0.01746561719540793,12.003017021112845,121.86,0.9624342919661494,0.09863472489662073,0.3698094513974051,0.14142135623730945,0.1414213562373095,1,goal_failure
small-dataset-maps-door-size-0-5-1s1-7,1,door-width,failure,0.03656464389964838,0.03888330115061335,0.12092121320534269,0.03431048071546071,14.716598025101097,172.98,0.9656442348351636,0.08520185763637529,0.3503692625063896,0.14142135623730948,0.1414213562373095,2,"goal_failure,stuck"
small-dataset-maps-door-size-0-5-1s1-7,2,door-width,failure,0.033245416789795354,0.03953526518813104,0.10437523387651633,0.019917097525931127,10.327483924943857,111.636,0.981456832716402,0.09263411334079634,0.40501104880859307,0.14142135623730945,0.1414213562373095,1,goal_failure
small-dataset-maps-door-size-0-5-1s1-8,0,door-width,failure,0.07641944684599719,0.08581610312544778,0.18472839400510443,0.019018640605408046,17.35675349775637,134.38799999999998,0.9950725609701913,0.12928878860981305,0.34692715556677617,0.14142135623730945,0.1414213562373095,2,"goal_failure,stuck"
small-dataset-maps-door-size-0-5-1s1-8,1,door-width,failure,0.06597476241844613,0.07609482023736185,0.19261740158422339,0.016451588101807614,17.187878958608557,117.756,0.9916776422152539,0.1461532815191369,0.4331400854467972,0.14142135623730945,0.1414213562373095,2,"goal_failure,stuck"
small-dataset-maps-door-size-0-5-1s1-8,2,door-width,failure,0.08614544406096418,0.09144742006826154,0.1761331991768742,0.024942643651414253,16.991583256125644,100.8,0.9894929328564431,0.16872573997298676,0.458534989538389,0.14142135623730948,0.1414213562373095,1,goal_failure
small-dataset-maps-door-size-0-5-1s1-9,0,door-width,failure,0.039270431566937825,0.04137406198071519,0.08013668248913358,0.015308257504796231,14.406105907429335,137.52,0.975487202230259,0.10487828989086531,0.3882708554537819,0.14142135623730945,0.1414213562373095,2,"goal_failure,stuck"
small-dataset-maps-door-size-0-5-1s1-9,1,door-width,failure,0.05942302104014831,0.06627007462836375,0.1234995069810354,0.020016130042120512,12.834393602607783,75.456,0.9686814628767234,0.1703249296417446,0.4912446298650295,0.14142135623730948,0.1414213562373095,1,goal_failure
small-dataset-maps-door-size-0-5-1s1-9,2,door-width,failure,0.05310058198241439,0.055876828261254126,0.13632860833092855,0.015352318292980961,14.168441403689531,113.832,0.9734233942665165,0.12464511230847304,0.39711585719773157,0.14142135623730945,0.1414213562373095,1,goal_failure
small-dataset-maps-door-size-0-5-1s2-1,0,door-width,success,0.06545921937835959,0.07359362167942217,0.18970014879845107,0.027874379756481726,21.467433184600708,190.18800000000002,0.9772285655050612,0.11302781925766756,0.4096887910909161,0.14142135623730945,0.1414213562373095,0,none
small-dataset-maps-door-size-0-5-1s2-1,1,door-width,success,0.053834582664021684,0.05973175144986606,0.10636311306894942,0.023145660662000092,24.910426089936955,195.879,0.982320709121473,0.12734229052448623,0.41082268359548085,0.14142135623730948,0.1414213562373095,0,none
